Tabla:,,CONCENTRADOHOGAR,,,,
,,,,,,
Insumos:,,,,,,
"VIVIENDAS
HOGARES
POBLACION
INGRESOS",,,,,"GASTOSHOGAR
GASTOSPERSONA
EROGACIONES
",
,,,,,,
Construcción general:,,,,,,
"Esta tabla es un resumen a nivel hogar con las principales variables de interés de la encuesta.

Se construyen las variables (para explotación) de acuerdo a la lista de variables.",,,,,,
,,,,,,
Lista de variables:,,,,,,
#,Variable,Tipo,Categorías / valores nulos,,Construcción / Observaciones,
cuidados,,"031411, 031412, 044491, 055221, 055222, 056112, 056113, 056114, 056115, 056116, 056117, 056118, 056119, 05611A, 05611B, 05611C, 05611D, 05611E, 056192, 056193, 056194, 056195, 056196, 056197, 056198, 05619B, 05619C, 056211, 056212, 056291, 056292, 056293, 056294, 056295, 171101",,,,
utensilios,,"031320, 051111, 051142, 051144, 051145, 052111, 052112, 052113, 052121, 052122, 052123, 052124, 052131, 052132, 052191, 052192, 052193, 052200, 054011, 054012, 054013, 054021, 054022, 054023, 054031, 054032, 054033, 054034, 054035, 054036, 054040, 055101, 055102, 055211, 055212, 055301, 055302, 055303, 056191, 093122, 132113",,,,
enseres,,"043121, 043122, 051112, 051113, 051114, 051115, 051116, 051121, 051130, 051141, 051143, 051201, 053111, 053112, 053113, 053114, 053115, 053121, 053122, 053131, 053132, 053133, 053134, 053140, 053190, 053211, 053212, 053213, 053214, 053215, 053221, 053222, 053291, 053292, 053293, 053301, 053302, 053303, 055223, 081100, 173111, 173112, 173113, 173121",,,,
ambul_serv,,"062194, 062192, 064103, 064202, 062198, 062193, 062191, 062210, 062291, 062292, 064101, 064102, 064201, 062195, 062196, 062197, 062110, 062311, 062312, 062313, 062321, 062322, 062323",,,,
aten_hosp,,"063103, 063104, 063106, 063101, 063105, 063200, 063102, 121202, 121201",,,,
medic_prod,,"061118, 061119, 06111A, 06111B, 06111C, 06111D, 06111E, 06111G, 06111H, 06111I, 061111, 061112, 061113, 061114, 061115, 061116, 061117, 06111K, 06111L, 06111F, 06111J, 061211, 061212, 061221, 061222, 061223, 061230, 061120, 061311, 061312, 061320, 061332, 061333, 061331, 061334, 061335, 061336, 061337, 061338, 061401, 061402",,,,
publico,,"073111, 073121, 073122, 073123, 073212, 073213, 073214, 073215, 073221, 073222, 073290, 073600, 181211, 181212",,,,
foraneo,,"072420, 072440, 073112, 073211, 073310, 073320, 073401, 073402, 073500, 074911, 074912, 091242",,,,
adqui_vehi,,"071110, 071120, 071200, 071300, 071401, 071402, 091210",,,,
refaccion,,"072110, 072121, 072122, 072131, 072132, 072133, 072301, 072304, 072305, 072307, 072308, 072309, 094210, 094220",,,,
