folioviv,tot_resid,mat_pared,mat_techos,ab_agua,agua_noe,dotac_agua,sanit_agua,drenaje
100120606,4,8,10,1,,1,1,1
100121802,5,8,10,1,,1,1,1
100121803,3,8,10,1,,1,1,1
100121804,4,8,10,1,,1,1,1
100121805,4,8,10,1,,1,1,1
100121806,3,8,10,1,,1,1,1
100122902,3,8,10,1,,1,1,1
100122903,1,8,10,3,,1,1,1
100122904,1,8,10,1,,1,1,1
100122906,4,8,10,1,,1,1,1
100123201,1,8,10,1,,1,1,1
100123202,1,8,10,1,,1,1,1
100123203,3,8,10,1,,1,1,1
100123204,4,8,10,1,,1,1,1
100123205,3,8,10,1,,2,1,1
100123206,3,8,10,1,,1,1,1
100124002,4,8,10,1,,2,1,1
100124003,3,8,10,1,,2,1,1
100124004,1,8,10,1,,1,1,1
100124005,7,8,10,1,,2,1,1
100125301,4,8,10,1,,1,1,1
100125302,2,8,10,1,,1,1,1
100125303,4,8,10,1,,1,1,1
100125304,3,8,10,1,,1,1,1
100125305,6,8,10,1,,1,1,1
100125306,4,8,10,1,,1,1,1
100126401,8,8,10,1,,3,1,1
100126402,2,8,10,1,,2,1,1
100126403,2,6,10,1,,1,1,1
100126404,4,8,10,1,,3,1,1
100127601,1,8,10,1,,1,1,1
100127602,3,8,10,1,,2,1,1
100127603,4,8,10,1,,1,1,1
100127604,2,8,10,1,,1,1,1
100127605,1,8,10,1,,1,1,1
100127606,2,8,10,1,,1,1,1
100128801,2,8,10,1,,1,1,1
100128802,4,8,10,1,,1,1,1
100128804,3,8,10,1,,1,1,1
100128805,4,8,10,1,,1,1,1
100128806,4,8,10,1,,1,1,1
100129001,4,8,10,1,,4,1,1
100129002,1,8,10,1,,1,1,1
100129003,2,8,10,1,,1,1,1
100129004,3,8,10,1,,2,1,1
100129005,3,8,10,1,,1,1,1
100129006,3,8,10,1,,1,1,1
100130701,1,8,10,1,,1,1,1
100130702,2,8,10,1,,1,1,1
