folioviv,camb_clim,climate_vulnerability_intensity
100162001,0,0
100162002,0,0
100162003,0,0
100162004,0,0
100162005,0,0
100162006,0,0
100163701,0,0
100163704,0,0
100163705,0,0
100163706,0,0
100164601,0,0
100164602,0,0
100164603,0,0
100164604,0,0
100164605,0,0
100164606,0,0
100165902,0,0
100165904,0,0
100165905,0,0
100166201,0,0
100166202,0,0
100166203,0,0
100166204,0,0
100166205,0,0
100167401,0,0
100167402,0,0
100167403,0,0
100167404,0,0
100167405,0,0
100167406,0,0
100168601,0,0
100168602,0,0
100168603,0,0
100168604,0,0
100168605,0,0
100168606,0,0
100169801,0,0
100169802,0,0
100169803,0,0
100169804,1,8
100169805,0,0
100169806,0,0
100170301,0,0
100170302,0,0
100170303,0,0
100170304,0,0
100170305,0,0
100170306,0,0
100171501,0,0
100171502,0,0
100171504,0,0
100171505,0,0
100171506,0,0
100172701,0,0
100172702,0,0
100172704,0,0
100172705,0,0
100172706,0,0
100172706,0,0
100173901,0,0
100173902,0,0
100173903,0,0
100173904,0,0
100173905,0,0
100173906,0,0
100174202,0,0
100174203,0,0
100174204,0,0
100174205,0,0
100174206,0,0
100175401,0,0
100175402,0,0
100175403,0,0
100175404,0,0
100175405,0,0
100175406,0,0
100176601,1,8
100176602,0,0
100176603,0,0
100176604,0,0
100176605,0,0
100176606,0,0
100177801,0,0
100177802,0,0
100177802,0,0
100177803,0,0
100177803,0,0
100177803,0,0
100177804,0,0
100177805,0,0
100177805,0,0
100177806,0,0
100178001,1,8
100178002,0,0
100178003,0,0
100178004,0,0
100178005,0,0
100178006,0,0
100179001,0,0
100179002,0,0
100179003,0,0
100179004,0,0
100179005,0,0
100179006,0,0
100180001,0,0
100180001,0,0
100180001,0,0
100180002,0,0
100180004,0,0
100180005,0,0
100180006,0,0
100180006,0,0
100180006,0,0
100181301,0,0
100181302,0,0
100181303,0,0
100181304,0,0
100181305,0,0
100181306,1,8
100182501,0,0
100182502,0,0
100182503,0,0
100182504,0,0
100182505,0,0
100182506,0,0
100183701,0,0
100183702,0,0
100183703,0,0
100183704,0,0
100183705,0,0
100183706,0,0
100184901,1,8
100184902,0,0
100184903,0,0
100184904,0,0
100184906,1,8
100185301,0,0
100185302,0,0
100185304,0,0
100185305,0,0
100185306,0,0
100186301,0,0
100186302,0,0
100186303,0,0
100186304,0,0
100186305,0,0
100186306,0,0
100187501,1,8
100187502,0,0
100187503,0,0
100187504,1,8
100187505,0,0
100187506,0,0
100188701,0,0
100188702,0,0
100188704,0,0
100188705,0,0
100189201,0,0
100189202,0,0
100189203,0,0
100189204,1,8
100189205,0,0
100189206,0,0
100190301,0,0
100190302,0,0
100190303,0,0
100190304,0,0
100190305,0,0
100190306,0,0
100191902,0,0
100191903,0,0
100191905,0,0
100192501,0,0
100192502,0,0
100192503,0,0
100192504,0,0
100192505,0,0
100192506,0,0
100193201,0,0
100193202,0,0
100193203,0,0
100193204,0,0
100193205,0,0
100193206,0,0
100194401,0,0
100194402,0,0
100194403,0,0
100194404,0,0
100194405,0,0
100194406,0,0
100195401,0,0
100195402,0,0
100195403,1,8
100195404,0,0
100195406,1,8
100196601,0,0
100196602,0,0
100196603,0,0
100196604,0,0
100196605,0,0
100196606,0,0
100197601,0,0
100197603,0,0
100197604,0,0
100197605,0,0
100197606,1,8
100198801,1,8
100198802,0,0
100198803,1,8
100198804,0,0
100198805,0,0
100198806,0,0
100199001,0,0
100199002,0,0
100199003,0,0
100199004,0,0
100199005,0,0
100199006,0,0
100200802,0,0
100200803,0,0
100200806,0,0
100201301,0,0
100201304,0,0
100201305,1,8
100201306,0,0
100202002,0,0
100202003,0,0
100202004,0,0
100203302,0,0
100203303,0,0
100203304,0,0
100203306,0,0
100204501,0,0
100204502,0,0
100204503,1,8
100205501,0,0
100205502,0,0
100205503,0,0
100205504,0,0
100205505,0,0
100206701,0,0
100206702,0,0
100206703,0,0
100206704,0,0
100206706,0,0
100207301,0,0
100207302,0,0
100207303,0,0
100207304,1,8
100207305,1,8
100207306,0,0
100208901,0,0
100208902,0,0
100208903,0,0
100208904,0,0
100208905,0,0
100208906,0,0
100209701,0,0
100209702,0,0
100209703,0,0
100210901,0,0
100210902,0,0
100210903,0,0
100210904,0,0
100210905,0,0
100210906,1,8
100211201,0,0
100211202,0,0
100211203,0,0
100211204,1,8
100211205,1,8
100211206,0,0
100212702,0,0
100212704,0,0
100212705,0,0
100213901,0,0
100213902,0,0
100213903,0,0
100213904,0,0
100213905,0,0
100213906,0,0
100214201,0,0
100214202,0,0
100214203,0,0
100214204,0,0
100214206,0,0
100215201,0,0
100215202,0,0
100215203,0,0
100215205,0,0
100215206,0,0
100216801,0,0
100216802,0,0
100216803,0,0
100216804,0,0
100216805,0,0
100216806,0,0
100217401,0,0
100217402,0,0
100217403,0,0
100217404,0,0
100217405,0,0
100217406,0,0
100218602,0,0
100218603,0,0
100218604,0,0
100219401,0,0
100219402,0,0
100219403,0,0
100219404,0,0
100219405,1,8
100219406,0,0
100220601,0,0
100220602,0,0
100220603,0,0
100220604,0,0
100220605,0,0
100220606,0,0
100221502,0,0
100221503,1,8
100221503,0,0
100221504,0,0
100221505,0,0
100221506,0,0
100222802,0,0
100222803,1,8
100222805,0,0
100222806,0,0
100223401,0,0
100223402,0,0
100223403,0,0
100223404,1,8
100223405,0,0
100223406,1,8
